"director","films","avg_revenue"
"Joss Whedon","6","987943689"
"Pierre Coffin","6","890335611"
"James Cameron","14","840509920"
"Chris Renaud","6","796744726"
"Colin Trevorrow","4","758768301"
"David Yates","6","742971665"
"Peter Jackson","18","722071424"
"Pete Docter","6","718508837"
"Chris Buck","4","711631761"
"Chris Miller","4","676972821"
"George Lucas","10","667822779"
"Joe Russo","6","666167478"
"Anthony Russo","6","666167478"
"Shane Black","4","615612571"
"Jennifer Yuh Nelson","4","593431553"
